date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:57	285/285	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:05%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fmicrosoft-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=4e59b79b59d3bd8b4bdcd7191d543bc4	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/microsoft-trn-sq1460.png	(from https://www.classcentral.com/institutions)
06:56:58	436/436	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:06%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fgooglecloud-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=b5402d9e684170654378d83e238d6e6a	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/googlecloud-trn-sq284f.png	(from https://www.classcentral.com/institutions)
06:56:59	285/285	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:07%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fgoogle-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=00374076ed7d1fa59f42ce8ad2dbd4cc	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/google-trn-sqf7b0.png	(from https://www.classcentral.com/institutions)
06:57:00	228/228	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fibm-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=14004fa01d0af0cf556139b097b1f0f6	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/ibm-trn-sqc7eb.png	(from https://www.classcentral.com/institutions)
06:57:01	229/229	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2000:30:44%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fcec-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=f267071d3246052b230b7c89af7c4527	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/cec-trn-sqecf7.png	(from https://www.classcentral.com/institutions)
06:57:02	249/249	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2000:30:44%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fnyif-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=a215dd2d830d90554f407af92ca34196	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/nyif-trn-sq2bbf.png	(from https://www.classcentral.com/institutions)
06:57:03	422/422	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:11%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Flearnquest-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=dff61988f1a5bdf81c6ba30cd16bc625	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/learnquest-trn-sq1561.png	(from https://www.classcentral.com/institutions)
06:57:04	405/405	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2000:30:44%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Faicte-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=e5dd0745fc8067c495d0d648a0286510	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/aicte-trn-sq6443.png	(from https://www.classcentral.com/institutions)
06:57:05	417/417	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:13%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fcloudswyft-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=3e3d161709382dbafaf9685b73ed264c	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/cloudswyft-trn-sqd154.png	(from https://www.classcentral.com/institutions)
06:57:06	262/262	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:14%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fdeeplearning-ai-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=36af0ca9effc2824b446baf944008d86	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/deeplearning-ai-trn-sq0f1b.png	(from https://www.classcentral.com/institutions)
06:57:07	430/430	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:15%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fnios-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=436f005c5f9c498cb9ee0519a3a379b0	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/nios-trn-sq4019.png	(from https://www.classcentral.com/institutions)
06:57:08	403/403	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:16%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fidb-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=0386695e866efa5b909483690a0847e6	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/idb-trn-sq2117.png	(from https://www.classcentral.com/institutions)
06:57:09	261/261	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2000:30:44%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fimf-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=834ab43b72c931b13cc9a72c64a0120b	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/imf-trn-sq285b.png	(from https://www.classcentral.com/institutions)
06:57:10	283/283	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:18%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Flinuxfoundation-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=04de8d65902e8bb77dfdb6ab7e34117e	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/linuxfoundation-trn-sqde64.png	(from https://www.classcentral.com/institutions)
06:57:11	422/422	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:19%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fautodesk-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=58360545e2e105cf913a7e29762a4c2d	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/autodesk-trn-sq7e5e.png	(from https://www.classcentral.com/institutions)
06:57:12	311/311	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:20%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fcnam-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=83c7ebb57473b2b07ac8abe7a15d0514	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/cnam-trn-sqba7d.png	(from https://www.classcentral.com/institutions)
06:57:13	419/419	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2015:49:21%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fcnfpt-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=a7993786a4376d043ba2dbcc1bfc467f	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/cnfpt-trn-sqc702.png	(from https://www.classcentral.com/institutions)
